,questions
0,¿Cuál es el objetivo del Código Penal de la Nación Argentina?
1,¿Bajo qué circunstancias se aplicará este código?
2,¿Qué sucede si la ley vigente al momento de cometerse un delito es distinta a la que existe al pronunciarse el fallo?
3,¿Cómo se debe calcular la prisión preventiva según el artículo 3º?
4,¿A qué delitos se aplicarán las disposiciones generales del código?
5,¿Cuáles son las penas establecidas en el Código Penal?
6,¿En qué condiciones se cumplirá la pena de reclusión?
7,¿Qué tipo de trabajo realizarán los recluidos en los establecimientos destinados al efecto?
8,¿Qué sucede con los hombres débiles o enfermos y los mayores de sesenta años que merecen reclusión?
9,¿Qué determinará la dirección del establecimiento en cuanto al trabajo especial para los hombres débiles o enfermos y los mayores de sesenta años?
10,¿Qué efecto tiene la suspensión del juicio a prueba en relación a las reglas de prejudicialidad del Código Civil?
11,¿Cómo se deben contar los plazos mencionados en el Código Penal?
12,"¿A quiénes se refiere el término ""funcionario público"" en el código?"
13,"¿Qué se entiende por ""mercadería"" según el código?"
14,"¿Qué sustancias están incluidas en la categoría de ""estupefacientes"" según el código?"
15,"¿Cuál es la definición de ""establecimiento rural"" según la Ley N° 23.737 en Argentina?"
16,"¿Qué actividades se consideran dentro del término ""establecimiento rural"" según la Ley N° 23.737?"
17,¿Cuándo se incorporó el párrafo mencionado en la Ley N° 25.890?
18,"¿Qué actividades se mencionan específicamente como parte del término ""establecimiento rural"" en la Ley N° 25.890?"
19,¿Cuál es el objetivo principal de la Ley N° 23.737 en relación con los establecimientos rurales?
20,"¿Cuál es la definición de ""documento"" según el código penal de la República Argentina?"
21,"¿Qué términos se incluyen en la definición de ""firma"" y ""suscripción"" según la ley mencionada?"
22,"¿Qué términos se incluyen en la definición de ""instrumento privado"" y ""certificado"" según la ley mencionada?"
23,"¿Qué se considera como ""violencia"" según el código penal?"
24,¿Cuál es la pena establecida para el delito de homicidio en el código penal?
25,¿Qué condiciones deben cumplirse para que se imponga la pena de reclusión perpetua o prisión perpetua por el delito de homicidio?
26,¿Cuáles son las circunstancias agravantes para el delito de homicidio según el código penal?
27,¿Qué implica el inciso 8° del artículo 80 del código penal en relación con el delito de homicidio?
28,¿Cuándo se incorporó el inciso 8° del artículo 80 del código penal y qué establece?
29,¿Cuál es el título y capítulo del código penal que aborda los delitos contra las personas?
30,¿Qué sucede cuando se satisface una multa según el artículo 22 del Código Penal de la República Argentina?
31,¿Bajo qué circunstancias se puede agregar una multa a una pena privativa de libertad según el artículo 22 bis?
32,¿Qué sucede con las cosas utilizadas para cometer un delito y las ganancias obtenidas del mismo según el artículo 23?
33,¿En qué casos se puede ordenar el decomiso de cosas peligrosas para la seguridad común según el artículo 23?
34,¿Qué sucede con los bienes decomisados y el producido de las multas impuestas según el artículo 23?
35,¿Cuáles son las medidas cautelares que puede adoptar el juez desde el inicio de las actuaciones judiciales?
36,¿Qué bienes o derechos patrimoniales pueden ser objeto de decomiso en relación a los delitos investigados?
37,¿Cuál es el alcance de las medidas cautelares destinadas a hacer cesar la comisión del delito o sus efectos?
38,¿Qué derechos se deben dejar a salvo en todos los casos de medidas cautelares?
39,¿Cómo se computa la prisión preventiva según el artículo 24?
40,"¿Cuál es la relación entre la prisión preventiva y la reclusión, la prisión y la inhabilitación según el artículo 24?"
41,¿Cuál es la responsabilidad de reparar el daño en caso de un delito según el artículo 31 del Código Penal de la República Argentina?
42,¿Qué obligación tiene una persona que participa de los efectos de un delito por título lucrativo según el artículo 32 del Código Penal de la República Argentina?
43,¿Qué reglas se deben seguir en caso de insolvencia total o parcial de los responsables de un delito según el artículo 33 del Código Penal de la República Argentina?
44,¿Cuáles son las circunstancias en las que una persona no es punible según el artículo 34 del Código Penal de la República Argentina?
45,¿Bajo qué condiciones se puede ordenar la reclusión de una persona en un manicomio en caso de enajenación según el artículo 34 del Código Penal de la República Argentina?
46,¿En qué casos una persona no es punible por obrar violentado por fuerza física irresistible o amenazas según el artículo 34 del Código Penal de la República Argentina?
47,¿Bajo qué circunstancias una persona no es punible por causar un mal para evitar otro mayor inminente según el artículo 34 del Código Penal de la República Argentina?
48,"¿En qué situaciones una persona no es punible por obrar en cumplimiento de un deber o en el legítimo ejercicio de su derecho, autoridad o cargo según el artículo 34 del Código Penal de la República Argentina?"
49,¿Cuándo una persona no es punible por obrar en virtud de obediencia debida según el artículo 34 del Código Penal de la República Argentina?
50,¿Cuáles son las circunstancias que deben concurrir para que una persona no sea punible por obrar en defensa propia o de sus derechos según el artículo 34 del Código Penal de la República Argentina?
51,¿Cuál es la cantidad de multa que el tribunal puede fijar según el artículo 25 del Código Penal de la República Argentina?
52,¿Qué sucede si un penado se vuelve loco durante su condena según el artículo 25?
53,¿En qué casos los tribunales pueden disponer la suspensión del cumplimiento de la pena según el artículo 26?
54,¿Qué condiciones deben cumplirse para que se pueda aplicar la condenación condicional según el artículo 26?
55,¿Cuál es el plazo máximo para que un condenado no cometa un nuevo delito y se mantenga la suspensión de la condena según el artículo 27?
56,¿Qué reglas de conducta puede imponer el tribunal al suspender condicionalmente la ejecución de la pena según el artículo 27 bis?
57,¿Cuál es el plazo mínimo y máximo que el tribunal puede establecer para el cumplimiento de las reglas de conducta según el artículo 27 bis?
58,¿Cuál es una de las obligaciones establecidas en el contexto para los ciudadanos según el Código Penal de la República Argentina?
59,¿Qué tipo de sustancias se mencionan en el contexto que los ciudadanos deben abstenerse de usar?
60,¿Cuál es una de las obligaciones relacionadas con la educación establecidas en el contexto?
61,¿Qué tipo de abuso se menciona en el contexto que los ciudadanos deben evitar?
62,¿En qué nivel educativo se menciona que los ciudadanos deben asistir si no lo han completado?
63,¿Cuáles son las condiciones que debe cumplir un condenado para acceder a la libertad condicional según el artículo 27 del Código Penal de la República Argentina?
64,¿Qué medidas puede ordenar la sentencia condenatoria según el artículo 29 del Código Penal de la República Argentina?
65,¿Cuál es el orden de prioridad para satisfacer las responsabilidades pecuniarias de un condenado según el artículo 30 del Código Penal de la República Argentina?
66,¿Cuál es la pena que se aplicará al cómplice si se demuestra que solo quiso cooperar en un hecho menos grave que el cometido por el autor?
67,"¿Qué influencia tienen las relaciones, circunstancias y calidades personales en la penalidad de un autor o cómplice?"
68,¿Bajo qué circunstancias no se considera a una persona como partícipe de un delito cometido por la prensa?
69,¿Cuándo se considera que una persona ha reincidido en la comisión de delitos?
70,¿Qué condiciones deben cumplirse para que una condena sufrida en el extranjero sea tenida en cuenta para la reincidencia?
71,¿Qué tipos de delitos no darán lugar a reincidencia?
72,¿En qué casos un ente oficial que lleve registros penales se abstendrá de informar sobre datos de un proceso terminado?
73,¿Cuándo caduca el registro de las sentencias condenatorias para las condenas condicionales?
74,¿Cuándo caduca el registro de las sentencias condenatorias para las demás condenas a penas privativas de la libertad?
75,¿Cuándo caduca el registro de las sentencias condenatorias para las condenas a pena de multa o inhabilitación?
76,¿En qué casos se deberá brindar información con el expreso consentimiento del interesado?
77,¿Bajo qué circunstancias los jueces podrán requerir información excepcionalmente?
78,¿Cuál es el fundamento necesario para que los jueces puedan requerir información como elemento de prueba en un proceso judicial?
79,¿Cuáles son las condiciones que debe cumplir una persona para obtener la libertad condicional según el artículo 13 del Código Penal de la República Argentina?
80,¿Bajo qué circunstancias no se concederá la libertad condicional según el artículo 14 del Código Penal de la República Argentina?
81,"¿Qué sucede si un penado comete un nuevo delito o viola la obligación de residencia mientras está en libertad condicional, según el artículo 15 del Código Penal de la República Argentina?"
82,¿Cuándo se considera que una pena ha sido extinguida según el artículo 16 del Código Penal de la República Argentina?
83,¿Qué implicaciones tiene la inhabilitación absoluta según el artículo 19 del Código Penal de la República Argentina?
84,¿Cuál es una de las posibles consecuencias para el penado en el contexto del documento?
85,¿Qué derechos se le pueden privar al penado según el contexto?
86,¿Qué tipo de empleo o cargo público puede ser privado al penado?
87,¿De dónde puede provenir el empleo o cargo público que se le priva al penado?
88,¿Qué tipo de elección puede estar relacionada con la privación del empleo o cargo público del penado?
89,¿Cuáles son las consecuencias de la condena de inhabilitación especial según el artículo 20 del Código Penal de la República Argentina?
90,¿Bajo qué circunstancias se puede imponer la pena de inhabilitación especial según el artículo 20 bis del Código Penal de la República Argentina?
91,"¿Cuáles son los requisitos para que un condenado a inhabilitación absoluta pueda ser restituido al uso y goce de los derechos y capacidades de los que fue privado, según el artículo 20 ter del Código Penal de la República Argentina?"
92,"¿Qué consideraciones se toman en cuenta para determinar la cantidad de dinero que debe pagar el reo como multa, según el artículo 21 del Código Penal de la República Argentina?"
93,¿Cuál es la consecuencia si el reo no paga la multa en el plazo establecido por la sentencia?
94,¿Qué medidas puede tomar el tribunal antes de convertir la multa en prisión?
95,¿Bajo qué condiciones se puede autorizar al condenado a amortizar la pena pecuniaria mediante el trabajo libre?
96,¿Qué opción tiene el condenado para pagar la multa en cuotas?
97,¿Qué factores toma en cuenta el tribunal al fijar el monto y la fecha de los pagos de la multa?
